0;1;2;3;4;5;6;7;8;9;10;11;12
"CL";"ESTRELLA  AGENA";7;"ESTRELLA  AGENA 7";41;41091;237127.88008064445;4145832.074017186;1.0;CALLE;ESTRELLA AGENA;7;41091
"UR";"AUGUSTA RESIDENCIAL";7;"AUGUSTA RESIDENCIAL 7";41;41091;236531.29918468528;4139676.73685888;0.49210526315789477;BARRIADA;RESIDENCIAL SANTA BARBARA C-A;4;41091
"CL";"PILAR DE GRACIA";6;"PILAR DE GRACIA 6";41;41091;234192.4728005284;4141389.3069472807;0.9552631578947368;CALLE;PILAR DE GRACIA;6;41091
"CL";"FIRMAMENTO";20;"FIRMAMENTO 20";41;41091;240127.65886032488;4144410.7378268167;1.0;CALLE;FIRMAMENTO;20;41091
"AV";"GRAHAM BELL";1;"GRAHAM BELL 1";41;41091;233548.212104893;4140847.1985509526;0.9;CALLE;GRAHAM BELL;1;41091
"CL";"ANTONIO SUSILLO";46;"ANTONIO SUSILLO 46";41;41091;235066.76039460645;4143544.3522326816;1.0;CALLE;ANTONIO SUSILLO;46;41091
"CL";"ARROYO";55;"ARROYO 55";41;41091;236175.02598709892;4142955.6774366684;1.0;CALLE;ARROYO;55;41091
"CL";"AV CIENCIAS ED.PARQUE REY 10 6";;"AV CIENCIAS ED.PARQUE REY 10 6 ";41;41091;241524.11655086486;4142435.793140191;0.5218750000000001;AVENIDA;CIENCIAS (LAS);10;41091
"CL";"GORRION";2;"GORRION 2";41;41091;238109.28657399624;4141902.537143803;1.0;CALLE;GORRION;2;41091
"CL";"JUSTINO MATUTE";19;"JUSTINO MATUTE 19";41;41091;233906.99450246245;4141415.6166471005;1.0;CALLE;JUSTINO MATUTE;19;41091
"CL";"ALFONSO XII";60;"ALFONSO XII 60";41;41091;234354.91879942856;4142730.8899381924;1.0;CALLE;ALFONSO XII;60;41091
"CL";"THAILANDIA";2;"THAILANDIA 2";41;41091;241738.40514941374;4143777.5932311043;1.0;CALLE;THAILANDIA;2;41091
"CL";"LIRA";5;"LIRA 5";41;41091;235657.6327906038;4143173.228235197;1.0;CALLE;LIRA;5;41091
"AV";"PEDRO GUAL VILLALBI";2;"PEDRO GUAL VILLALBI 2";41;41091;238701.76416998357;4143081.5575358164;0.3790322580645161;CALLE;PEDRO MENENDEZ DE AVILES;2;41091
"CL";"SANTA CLARA";16;"SANTA CLARA 16";41;41091;234743.5692967953;4143366.426033888;1.0;CALLE;SANTA CLARA;16;41091
"CL";"PASCUAL GAYANGO";41;"PASCUAL GAYANGO 41";41;41091;234308.77749974077;4143048.0886360435;0.9346153846153846;CALLE;PASCUAL DE GAYANGOS;41;41091
"CL";"AGUILA BLANCA";3;"AGUILA BLANCA 3";41;41091;238586.95987076132;4139779.5309581845;1.0;CALLE;AGUILA BLANCA;3;41091
"CL";"SANTA MARINA";12;"SANTA MARINA 12";41;41091;235523.4018915131;4143307.3003342887;1.0;CALLE;SANTA MARINA;12;41091
"AV";"DE LAS CIENCIAS";4;"DE LAS CIENCIAS 4";41;41091;241528.2717508365;4142305.648941073;0.8111111111111111;AVENIDA;CIENCIAS (LAS);4;41091
"AV";"SAN JUAN DE LA SALLE-PARQ.TORR";3;"SAN JUAN DE LA SALLE-PARQ.TORR 3";41;41091;236776.79338302277;4144051.24132925;0.6884615384615385;AVENIDA;SAN JUAN DE LA SALLE;2;41091
"CL";"JOSE LAGUILLO";23;"JOSE LAGUILLO 23";41;41091;236088.15878768713;4142817.5299376063;0.9;AVENIDA;JOSE LAGUILLO;23;41091
"CL";"DON ALONSO EL SABIO";4;"DON ALONSO EL SABIO 4";41;41091;235125.18779421016;4142472.1159399454;0.9630434782608696;CALLE;DON ALONSO EL SABIO;4;41091
"ZZ";"NUCLEO RESIDENCIAL SAN DIEGO";19;"NUCLEO RESIDENCIAL SAN DIEGO 19";41;41091;238089.49827413098;4142943.549136752;0.23076923076923078;CALLE;LUIS MAZZANTINI;3;41091
;"VIRGEN DE LUJAN 48 C";;"VIRGEN DE LUJAN 48 C ";41;41091;234155.7478007776;4140706.631951905;0.9552631578947368;CALLE;VIRGEN DE LUJAN;48;41091
"CL";"JUAN RAMON JIMENEZ";3;"JUAN RAMON JIMENEZ 3";41;41091;234464.8049986838;4140739.331551682;1.0;CALLE;JUAN RAMON JIMENEZ;3;41091
"CL";"JUAN DIAZ DE SOLIS";2;"JUAN DIAZ DE SOLIS 2";41;41091;233648.98590420996;4141147.8970489153;0.9595238095238094;CALLE;JUAN DIAZ DE SOLIS;2;41091
"CL";"ESPERANZA TRINIDAD";2;"ESPERANZA TRINIDAD 2";41;41091;236313.1649861636;4142626.559038899;0.946875;CALLE;ESPERANZA DE LA TRINIDAD;2;41091
"CL";"LEON XIII";78;"LEON XIII 78";41;41091;235989.1148883581;4144061.316129181;1.0;CALLE;LEON XIII;78;41091
"CL";"PAQUIRO";3;"PAQUIRO 3";41;41091;237965.10437497316;4143400.9333336544;0.9;PLAZA;PAQUIRO;3;41091
"CL";"SAN LUIS";14;"SAN LUIS 14";41;41091;235518.5707915459;4143094.552935731;1.0;CALLE;SAN LUIS;14;41091
"CL";"COMPRENSION";49;"COMPRENSION 49";41;41091;240600.84145711953;4140098.2250560247;1.0;CALLE;COMPRENSION;49;41091
"CL";"PELAY CORREA";;"PELAY CORREA ";41;41091;234325.64979962638;4141524.972946361;1.0;CALLE;PELAY CORREA;44;41091
"GR";"ALMENAS (LAS)";;"ALMENAS (LAS) ";41;41091;237474.72117829486;4145066.318322374;0.7875;GRUPO;ALMENAS (LAS);11;41091
"AV";"DEPORTE (EL)";1;"DEPORTE (EL) 1";41;41091;241609.1807502884;4141806.865944451;0.8300000000000001;AVENIDA;DEPORTE (EL);1;41091
"CL";"LAVANDERAS";1;"LAVANDERAS 1";41;41091;237538.64907786233;4145793.954917445;1.0;CALLE;LAVANDERAS;1;41091
"CL";"MANUEL ARELLANO";22;"MANUEL ARELLANO 22";41;41091;233521.9410050704;4141989.91544321;1.0;CALLE;MANUEL ARELLANO;22;41091
"CL";"ALFAFAR";7;"ALFAFAR 7";41;41091;240739.4037561805;4144605.2683254965;0.7166666666666667;CALLE;CIUDAD DE ALFAFAR;7;41091
"CL";"AJUSTADORES";4;"AJUSTADORES 4";41;41091;237876.96377557042;4145804.7796173715;1.0;CALLE;AJUSTADORES;4;41091
"CL";"FABIE";20;"FABIE 20";41;41091;234129.28410095657;4141715.0427450747;1.0;CALLE;FABIE;20;41091
"CL";"CIUDAD DE PATERNA";4;"CIUDAD DE PATERNA 4";41;41091;240724.40475628214;4144704.815724823;0.9630434782608696;CALLE;CIUDAD DE PATERNA;4;41091
"CL";"TARFIA";7;"TARFIA 7";41;41091;235314.86169292522;4139490.024060146;1.0;CALLE;TARFIA;7;41091
"CL";"CRUZ DEL SUR";13;"CRUZ DEL SUR 13";41;41091;238011.0300746627;4141497.365046549;0.8583333333333334;CALLE;CRUZ DEL SUR;13;41091
"CL";"LA CALESERA";11;"LA CALESERA 11";41;41091;238991.98916801752;4140847.0085509527;0.75;AVENIDA;CALESERA (LA);11;41091
"PZ";"PZA DE LOS LUCEROS 1 PTA 11";1;"PZA DE LOS LUCEROS 1 PTA 11 1";41;41091;240936.2443548477;4144263.65182781;0.7875;PLAZA;LUCEROS (LOS);1;41091
"CL";"HEROES DE TOLEDO";49;"HEROES DE TOLEDO 49";41;41091;236973.54778169014;4135062.063990137;0.5047619047619047;CALLE;ASENSIO Y TOLEDO;42;41091
"CL";"ALCALDE JOSE DE LA BANDERA";5;"ALCALDE JOSE DE LA BANDERA 5";41;41091;235836.19578939432;4142099.225942472;0.946875;CALLE;ALCALDE JOSE DE LA BANDERA;5;41091
"CL";"SAUCO";7;"SAUCO 7";41;41091;239567.16836412143;4144106.1497288775;1.0;CALLE;SAUCO;7;41091
"CL";"LUIS MONTOTO";125;"LUIS MONTOTO 125";41;41091;237145.0387805277;4142014.2659430457;1.0;CALLE;LUIS MONTOTO;125;41091
"CL";"PERIODISTA RAMON RESA";13;"PERIODISTA RAMON RESA 13";41;41091;235622.25609084353;4139228.523461915;1.0;CALLE;PERIODISTA RAMON RESA;13;41091
